addr,size,layer,kind,ncallers,ncallees,vector,traps,named_callees,strings
0x0005C8,5194,PIOCOS-KERNEL,unnamed,0,2,0,,"",""
0x001A12,132,PIOCOS-KERNEL,unnamed,1,0,,,"",""
0x001A96,52,PIOCOS-KERNEL,unnamed,7,0,,,"",""
0x001ACA,54,PIOCOS-KERNEL,unnamed,1,0,,,"",""
0x001B00,510,PIOCOS-KERNEL,unnamed,0,2,30,,"","CX5 APRIL 21, 1986"
0x001CFE,218,PIOCOS-KERNEL,named,0,1,1,,"",""
0x001DD8,40,PIOCOS-KERNEL,unnamed,0,0,31,,"",""
0x001E00,56,PIOCOS-KERNEL,unnamed,0,0,42,,"",""
0x001E38,98,PIOCOS-KERNEL,unnamed,0,0,9,,"",""
0x001E9A,138,PIOCOS-KERNEL,unnamed,2,3,,,"",""
0x001F24,2,PIOCOS-KERNEL,stub,0,1,4,,"",""
0x001F26,2,PIOCOS-KERNEL,stub,0,0,5,,"",""
0x001F28,2,PIOCOS-KERNEL,stub,0,0,6,,"",""
0x001F2A,2,PIOCOS-KERNEL,stub,0,0,7,,"",""
0x001F2C,4,PIOCOS-KERNEL,stub,0,0,8,,"",""
0x001F30,2,PIOCOS-KERNEL,stub,0,0,10,,"",""
0x001F32,2,PIOCOS-KERNEL,stub,0,0,11,,"",""
0x001F34,2,PIOCOS-KERNEL,stub,0,0,12,,"",""
0x001F36,2,PIOCOS-KERNEL,stub,0,0,13,,"",""
0x001F38,2,PIOCOS-KERNEL,stub,0,0,14,,"",""
0x001F3A,2,PIOCOS-KERNEL,stub,0,0,15,,"",""
0x001F3C,2,PIOCOS-KERNEL,stub,0,0,16,,"",""
0x001F3E,2,PIOCOS-KERNEL,stub,0,0,17,,"",""
0x001F40,2,PIOCOS-KERNEL,stub,0,0,18,,"",""
0x001F42,2,PIOCOS-KERNEL,stub,0,0,19,,"",""
0x001F44,2,PIOCOS-KERNEL,stub,0,0,20,,"",""
0x001F46,2,PIOCOS-KERNEL,stub,0,0,21,,"",""
0x001F48,2,PIOCOS-KERNEL,stub,0,0,22,,"",""
0x001F4A,2,PIOCOS-KERNEL,stub,0,0,23,,"",""
0x001F4C,2,PIOCOS-KERNEL,stub,0,0,24,,"",""
0x001F4E,2,PIOCOS-KERNEL,stub,0,0,25,,"",""
0x001F50,2,PIOCOS-KERNEL,stub,0,0,26,,"",""
0x001F52,2,PIOCOS-KERNEL,stub,0,0,27,,"",""
0x001F54,2,PIOCOS-KERNEL,stub,0,0,28,,"",""
0x001F56,14,PIOCOS-KERNEL,stub,0,0,29,,"",""
0x001F64,2,PIOCOS-KERNEL,stub,0,0,36,,"",""
0x001F66,2,PIOCOS-KERNEL,stub,0,0,37,,"",""
0x001F68,2,PIOCOS-KERNEL,stub,0,0,38,,"",""
0x001F6A,2,PIOCOS-KERNEL,stub,0,0,39,,"",""
0x001F6C,2,PIOCOS-KERNEL,stub,0,0,40,,"",""
0x001F6E,4,PIOCOS-KERNEL,stub,0,0,41,,"",""
0x001F72,2,PIOCOS-KERNEL,stub,0,0,43,,"",""
0x001F74,2,PIOCOS-KERNEL,stub,0,0,44,,"",""
0x001F76,2,PIOCOS-KERNEL,stub,0,0,45,,"",""
0x001F78,2,PIOCOS-KERNEL,stub,0,0,46,,"",""
0x001F7A,2,PIOCOS-KERNEL,stub,0,0,47,,"",""
0x001F7C,2,PIOCOS-KERNEL,stub,0,0,48,,"",""
0x001F7E,2,PIOCOS-KERNEL,stub,0,0,49,,"",""
0x001F80,2,PIOCOS-KERNEL,stub,0,0,50,,"",""
0x001F82,2,PIOCOS-KERNEL,stub,0,0,51,,"",""
0x001F84,2,PIOCOS-KERNEL,stub,0,0,52,,"",""
0x001F86,2,PIOCOS-KERNEL,stub,0,0,53,,"",""
0x001F88,2,PIOCOS-KERNEL,stub,0,0,54,,"",""
0x001F8A,2,PIOCOS-KERNEL,stub,0,0,55,,"",""
0x001F8C,2,PIOCOS-KERNEL,stub,0,0,56,,"",""
0x001F8E,2,PIOCOS-KERNEL,stub,0,0,57,,"",""
0x001F90,2,PIOCOS-KERNEL,stub,0,0,58,,"",""
0x001F92,2,PIOCOS-KERNEL,stub,0,0,59,,"",""
0x001F94,2,PIOCOS-KERNEL,stub,0,0,60,,"",""
0x001F96,2,PIOCOS-KERNEL,stub,0,0,61,,"",""
0x001F98,2,PIOCOS-KERNEL,stub,0,0,62,,"",""
0x001F9A,2,PIOCOS-KERNEL,stub,0,0,63,,"",""
0x001F9C,2,PIOCOS-KERNEL,stub,0,0,64,,"",""
0x001F9E,2,PIOCOS-KERNEL,stub,0,0,65,,"",""
0x001FA0,2,PIOCOS-KERNEL,stub,0,0,66,,"",""
0x001FA2,2,PIOCOS-KERNEL,stub,0,0,67,,"",""
0x001FA4,4,PIOCOS-KERNEL,stub,0,0,68,,"",""
0x001FA8,2,PIOCOS-KERNEL,stub,0,0,70,,"",""
0x001FAA,2,PIOCOS-KERNEL,stub,0,0,71,,"",""
0x001FAC,2,PIOCOS-KERNEL,stub,0,0,72,,"",""
0x001FAE,2,PIOCOS-KERNEL,stub,0,0,73,,"",""
0x001FB0,2,PIOCOS-KERNEL,stub,0,0,74,,"",""
0x001FB2,2,PIOCOS-KERNEL,stub,0,0,75,,"",""
0x001FB4,2,PIOCOS-KERNEL,stub,0,0,76,,"",""
0x001FB6,6,PIOCOS-KERNEL,stub,0,0,77,,"",""
0x001FBC,10,PIOCOS-KERNEL,stub,0,0,80,,"",""
0x001FC6,4,PIOCOS-KERNEL,stub,0,0,85,,"",""
0x001FCA,2,PIOCOS-KERNEL,stub,0,0,87,,"",""
0x001FCC,10,PIOCOS-KERNEL,stub,0,0,88,,"",""
0x001FD6,4,PIOCOS-KERNEL,stub,0,0,93,,"",""
0x001FDA,2,PIOCOS-KERNEL,stub,0,0,95,,"",""
0x001FDC,10,PIOCOS-KERNEL,stub,0,0,96,,"",""
0x001FE6,4,PIOCOS-KERNEL,stub,0,0,101,,"",""
0x001FEA,2,PIOCOS-KERNEL,stub,0,0,103,,"",""
0x001FEC,10,PIOCOS-KERNEL,stub,0,0,104,,"",""
0x001FF6,4,PIOCOS-KERNEL,stub,0,0,109,,"",""
0x001FFA,2,PIOCOS-KERNEL,stub,0,0,111,,"",""
0x001FFC,2,PIOCOS-KERNEL,stub,0,0,112,,"",""
0x001FFE,2,PIOCOS-KERNEL,stub,0,0,113,,"",""
0x002000,2,PIOCOS-KERNEL,stub,0,0,114,,"",""
0x002002,2,PIOCOS-KERNEL,stub,0,0,115,,"",""
0x002004,2,PIOCOS-KERNEL,stub,0,0,116,,"",""
0x002006,2,PIOCOS-KERNEL,stub,0,0,117,,"",""
0x002008,2,PIOCOS-KERNEL,stub,0,0,118,,"",""
0x00200A,2,PIOCOS-KERNEL,stub,0,0,119,,"",""
0x00200C,2,PIOCOS-KERNEL,stub,0,0,120,,"",""
0x00200E,2,PIOCOS-KERNEL,stub,0,0,121,,"",""
0x002010,2,PIOCOS-KERNEL,stub,0,0,122,,"",""
0x002012,2,PIOCOS-KERNEL,stub,0,0,123,,"",""
0x002014,2,PIOCOS-KERNEL,stub,0,0,124,,"",""
0x002016,2,PIOCOS-KERNEL,stub,0,0,125,,"",""
0x002018,2,PIOCOS-KERNEL,stub,0,0,126,,"",""
0x00201A,2,PIOCOS-KERNEL,stub,0,0,127,,"",""
0x00201C,2,PIOCOS-KERNEL,stub,0,0,128,,"",""
0x00201E,2,PIOCOS-KERNEL,stub,0,0,129,,"",""
0x002020,2,PIOCOS-KERNEL,stub,0,0,130,,"",""
0x002022,2,PIOCOS-KERNEL,stub,0,0,131,,"",""
0x002024,2,PIOCOS-KERNEL,stub,0,0,132,,"",""
0x002026,2,PIOCOS-KERNEL,stub,0,0,133,,"",""
0x002028,2,PIOCOS-KERNEL,stub,0,0,134,,"",""
0x00202A,2,PIOCOS-KERNEL,stub,0,0,135,,"",""
0x00202C,2,PIOCOS-KERNEL,stub,0,0,136,,"",""
0x00202E,2,PIOCOS-KERNEL,stub,0,0,137,,"",""
0x002030,2,PIOCOS-KERNEL,stub,0,0,138,,"",""
0x002032,2,PIOCOS-KERNEL,stub,0,0,139,,"",""
0x002034,2,PIOCOS-KERNEL,stub,0,0,140,,"",""
0x002036,2,PIOCOS-KERNEL,stub,0,0,141,,"",""
0x002038,2,PIOCOS-KERNEL,stub,0,0,142,,"",""
0x00203A,2,PIOCOS-KERNEL,stub,0,0,143,,"",""
0x00203C,2,PIOCOS-KERNEL,stub,0,0,144,,"",""
0x00203E,2,PIOCOS-KERNEL,stub,0,0,145,,"",""
0x002040,2,PIOCOS-KERNEL,stub,0,0,146,,"",""
0x002042,2,PIOCOS-KERNEL,stub,0,0,147,,"",""
0x002044,2,PIOCOS-KERNEL,stub,0,0,148,,"",""
0x002046,2,PIOCOS-KERNEL,stub,0,0,149,,"",""
0x002048,2,PIOCOS-KERNEL,stub,0,0,150,,"",""
0x00204A,2,PIOCOS-KERNEL,stub,0,0,151,,"",""
0x00204C,2,PIOCOS-KERNEL,stub,0,0,152,,"",""
0x00204E,2,PIOCOS-KERNEL,stub,0,0,153,,"",""
0x002050,2,PIOCOS-KERNEL,stub,0,0,154,,"",""
0x002052,2,PIOCOS-KERNEL,stub,0,0,155,,"",""
0x002054,2,PIOCOS-KERNEL,stub,0,0,156,,"",""
0x002056,2,PIOCOS-KERNEL,stub,0,0,157,,"",""
0x002058,2,PIOCOS-KERNEL,stub,0,0,158,,"",""
0x00205A,2,PIOCOS-KERNEL,stub,0,0,159,,"",""
0x00205C,2,PIOCOS-KERNEL,stub,0,0,160,,"",""
0x00205E,2,PIOCOS-KERNEL,stub,0,0,161,,"",""
0x002060,2,PIOCOS-KERNEL,stub,0,0,162,,"",""
0x002062,2,PIOCOS-KERNEL,stub,0,0,163,,"",""
0x002064,2,PIOCOS-KERNEL,stub,0,0,164,,"",""
0x002066,2,PIOCOS-KERNEL,stub,0,0,165,,"",""
0x002068,2,PIOCOS-KERNEL,stub,0,0,166,,"",""
0x00206A,2,PIOCOS-KERNEL,stub,0,0,167,,"",""
0x00206C,2,PIOCOS-KERNEL,stub,0,0,168,,"",""
0x00206E,2,PIOCOS-KERNEL,stub,0,0,169,,"",""
0x002070,2,PIOCOS-KERNEL,stub,0,0,170,,"",""
0x002072,2,PIOCOS-KERNEL,stub,0,0,171,,"",""
0x002074,2,PIOCOS-KERNEL,stub,0,0,172,,"",""
0x002076,2,PIOCOS-KERNEL,stub,0,0,173,,"",""
0x002078,2,PIOCOS-KERNEL,stub,0,0,174,,"",""
0x00207A,2,PIOCOS-KERNEL,stub,0,0,175,,"",""
0x00207C,2,PIOCOS-KERNEL,stub,0,0,176,,"",""
0x00207E,2,PIOCOS-KERNEL,stub,0,0,177,,"",""
