# Manual OCR fixes for damaged Section 3 headings
# Format: DAMAGED_NAME|Code|CorrectName|ShortName

ASSIGNCAMACLAM|154B|AssignCAMACLAM|ASSIG
ATTACHSEGMENT|167B|AttachSegment|REENT
BCNAFCAMAC|414B|BCNAFCAMAC|BCNAF
CAMACGLREGISTER|150B|CAMACGLRegister|GL
CAMACIOINSTRUCTION|153B|CAMACIOInstruction|IOXN
CREATEFILE|221B|CreateFile|CRALF
DELETEPAGE|272B|DeletePage|DELPG
DISABLERTSTART|137B|DisableRTStart|RTOFF
EXECUTECOMMAND|317B|ExecuteCommand|UECOM
EXITFROMSEGMENT|133B|ExitFromSegment|MEXIT
FILEASSEGMENT|412B|FileAsSegment|FSCNT
GETERRORINFO|207B|GetErrorInfo|RERRP
GETFILEINDEXES|274B|GetFileIndexes|FOBJN
GETTERMINALMODE|306B|GetTerminalMode|GTMOD
GETTRAPREASON|505B|GetTrapReason|GERRCOD
GETUSERNAME|214B|GetUserName|GUSNA
GETUSERREGISTERS|420B|GetUserRegisters|GRBLK
JUMPTOSEGMENT|132B|JumpToSegment|MCALL
LAMUFUNCTION|315B|LAMUFunction|MLAMU
OCTOBUSFUNCTION|324B|OctobusFunction|OCTO
OFFESCLOCALFUNCTION|303B|OffEscLocalFunction|ELOFF
RESERVATIONINFO|140B|ReservationInfo|WHDEV
SEGMENTFUNCTION|341B|SegmentFunction|SGMTY
SEGMENTTOPAGETABLE|157B|SegmentToPageTable|ENTSG
SETBLOCKSIZE|76B|SetBlockSize|SETBS
SETFILEACCESS|237B|SetFileAccess|SFACC
SETERMINALTYPE|17B|SetTerminalType|MSTTY
SWITCHUSERBREAK|405B|SwitchUserBreak|USTRBK
TERMINALLINEINFO|332B|TerminalLineInfo|TREPP

