FCSTA 0x2c00
INIQ 0x2c03
RELQ 0x2c24
WLOCQ 0x2c46
LOCQ 0x2c4e
REAQ 0x2c55
WRIQ 0x2c58
APPQ 0x2c5c
XTAKQ 0x2c5e
TAKQ 0x2c66
UNLQ 0x2cbf
XUNLQ 0x2cc2
AMOFI 0x2cd9
BMOFF 0x2cdc
500MT 0x2ce9
MAGTP 0x2cec
500RF 0x2cfd
500WF 0x2d01
XRFIL 0x2d05
XWFIL 0x2d07
XMRW 0x2d26
XRPAG 0x2d7a
XWPAG 0x2d7c
YFGET 0x2d7e
YFPUT 0x2d80
COMEN 0x2e2e
SRRT1 0x2e91
SRRT2 0x2e94
SRRT4 0x2e9d
COMMO 0x2e9f
SLRMO 0x2f58
RSCAL 0x2f62
SVCAL 0x2f7e
GPHPA 0x2f92
INITF 0x2faa
NXPIT 0x3000
SPSRS 0x3010
GETCH 0x3032
GTTCH 0x3038
PUTCH 0x3040
COPYS 0x3044
ACOPY 0x3068
SETBL 0x3074
CPTYP 0x3085
GDIRA 0x3095
GNAMA 0x309d
EULOC 0x30a5
CABST 0x30b7
BABST 0x30e6
MABST 0x3178
FDABS 0x31ae
SABST 0x31db
SINBT 0x3200
SOUTB 0x3218
SUCPB 0x3234
USCPB 0x3237
SUCPS 0x323a
USCPS 0x323d
BIOAC 0x3292
7LOGG 0x32de
PFINO 0x3515
POFIN 0x3520
PFINA 0x352e
PUSNA 0x3538
PDINA 0x3542
PPREF 0x355a
PDRIX 0x356a
PUSIX 0x3578
POBIX 0x3586
7MCTY 0x35e1
FORPR 0x3607
FORFN 0x3609
ADDTP 0x369e
FBRES 0x36c7
FBREL 0x36c9
CDATF 0x36e7
SDATF 0x36fc
RESST 0x3744
CTOWQ 0x3764
COLFI 0x3779
CLOUT 0x37a6
MPYAT 0x37be
ATMUL 0x37e0
DMULT 0x37f1
NDPIT 0x3800
DDMUL 0x3806
LOCKQ 0x381a
UNLCQ 0x3832
APPEQ 0x3844
WRITQ 0x384b
READQ 0x3867
INITQ 0x3882
FINDQ 0x3893
GSPQB 0x38b7
RSPQB 0x38c5
GDATE 0x38d3
G3NWT 0x38f9
GDEVB 0x396f
G3IBU 0x399b
G3BUF 0x39a3
R3IBU 0x3a42
R3BUF 0x3a4a
CLADV 0x3a99
CL1DB 0x3aa0
CLRDB 0x3aa8
CLRDP 0x3af5
RELRT 0x3b29
RELBU 0x3b3e
RBLOC 0x3b59
RCBLO 0x3bf6
WBLOC 0x3c91
WCBLO 0x3cef
WTAPE 0x3d49
COMPP 0x3d8e
SSIZE 0x3dea
GSIZE 0x3e41
RSSPG 0x3e6f
GSSIZ 0x3eff
CHDEN 0x3f75
RXDIR 0x3fa3
WXDIR 0x3fc2
CHDSI 0x3ff3
NRPIT 0x4000
REENB 0x4072
WDIRS 0x4091
CHDAV 0x40b5
MOCTA 0x40c8
OCTAL 0x40de
MDECI 0x40f1
ORTDE 0x4120
DECIM 0x4128
DECIT 0x413b
MDDEC 0x4151
ORTDD 0x4186
DDECI 0x418e
MTWOD 0x41aa
TWODE 0x41c4
OUTRC 0x41d8
OUTST 0x420b
SRTOU 0x4212
OUTTX 0x4239
MDATE 0x4261
LDATE 0x429c
LACCW 0x42b6
INSTR 0x4309
STRNG 0x430b
APPST 0x4351
COMPS 0x436a
RDUMP 0x43ca
BDUMP 0x43d3
DUMP 0x43da
CHANG 0x4403
SEPST 0x449f
SEPPA 0x4520
SEPFS 0x4592
SEPUS 0x4640
DDIRN 0x4691
DOLDD 0x469b
DNEWD 0x46a7
DDEVN 0x46b3
DLOGU 0x46bb
SDLOG 0x46c3
DFRFL 0x46cd
DUSEN 0x46dc
DSPAC 0x46e3
DNUSE 0x46ed
DUSEI 0x46f6
DPASS 0x46fe
DOPAS 0x4705
DNPAS 0x470e
DFRIN 0x4717
DACCE 0x471f
DFNAM 0x4735
DFSNA 0x473c
DPAGE 0x4743
DNFIL 0x474f
DDVNU 0x475d
DPACC 0x4769
DFACC 0x4783
DOACC 0x479d
DOBJI 0x47b5
DACCM 0x47be
DFNUM 0x47d2
DBLSZ 0x47dd
DBYTP 0x47e8
DBLOP 0x47f4
DOUTF 0x47fd
NSPIT 0x4800
DSOUD 0x4805
DDESD 0x4810
DSOUF 0x481d
DDESF 0x4825
DSDEV 0x4830
SCDEV 0x483c
DPFNA 0x4845
DNUCO 0x4852
BFAD 0x485d
MNCHK 0x4873
VONA 0x487c
