FSCAP 0x4000
SG30L 0x4001
SG30F 0x4002
FP2ENT 0x4003
VERSI 0x4005
REVIS 0x400a
USFXT 0x400c
CAPAB 0x400f
DOMD 0x4010
MODIF 0x401c
STCH 0x4025
SGCOM 0x4029
ECONO 0x402d
CONOM 0x4032
MCADD 0x4036
YESNO 0x4041
MBDYN 0x404f
KGPAR 0x4056
CHTAC 0x406d
CMFFL 0x4077
MRSEG 0x409a
ADRZO 0x40bf
ADROU 0x40c4
OCT3 0x40cd
OCTU 0x40d5
DCONO 0x40d7
DOCTU 0x40ee
DTDEC 0x4107
DECU 0x410b
M4CAD 0x411f
DMSTR 0x4121
INTV 0x4124
DINTV 0x412b
4DECU 0x412c
ECONI 0x4137
SET 0x4138
CONID 0x413e
DSET 0x413f
SVERA 0x4145
SVLET 0x414e
SVER4 0x4150
MCBTY 0x4151
SVER5 0x4152
USTX5 0x4156
LUSTX 0x4157
USTX4 0x4158
UDD4 0x415a
MCSTY 0x4161
USTXT 0x416a
UDD 0x416b
MCRTY 0x4171
ABS1 0x4180
M4CBT 0x4181
M4CST 0x4185
M4CRT 0x4189
M5CBT 0x418d
M5CST 0x418e
M5CRT 0x418f
MCPAR 0x4190
HOLD 0x41a5
SMDDE 0x41b7
DCONI 0x41be
TMOUT 0x41cb
TIME 0x41e7
SM2DE 0x41e9
CLOCK 0x41ee
CONKI 0x41f5
XPERC 0x41f7
PERCE 0x41fd
XKXXX 0x4200
M4CPA 0x4208
GSTAT 0x4218
CLADJ 0x421f
M5CPA 0x4221
M5CAD 0x4224
DPERC 0x422a
ERRTE 0x422c
GVERS 0x422e
1OMDF 0x4231
OINPA 0x423a
XRXXX 0x4240
ORETP 0x4243
ORETS 0x424c
OCTMO 0x4258
T1000 0x4262
UPDAT 0x4267
SMBEG 0x426b
TSLAN 0x426c
TSLOR 0x4272
T1001 0x4274
XSTOP 0x4277
FRTSL 0x4278
X412B 0x4280
XEFSU 0x4281
XEFSD 0x4282
XEFTO 0x4283
XEFAR 0x4284
XEFIP 0x4285
XEFOV 0x4286
XEFNP 0x4287
XEFIE 0x4288
T1002 0x4289
XEFRT 0x428a
XEFRU 0x428b
CLCON 0x429d
T1003 0x42a5
CCNN 0x42a6
T1004 0x42b1
STAGP 0x42b7
1OKRE 0x42b9
T1005 0x42ba
STOGP 0x42c1
T1006 0x42c2
TUSED 0x42c3
T1007 0x42cc
XSBPR 0x42ce
1FU2 0x42d3
1FU3 0x42d8
STERM 0x42db
1FU4 0x42dd
1FU5 0x42e2
T1010 0x42e7
T1011 0x42ff
SRTON 0x4304
MEMSS 0x430f
GSGNO 0x4314
GRTDA 0x4316
1FU7 0x4317
T1012 0x431c
T1013 0x4331
T1014 0x4340
T1015 0x4351
SMCCL 0x4359
6IDMA 0x4361
6IDTA 0x4365
T1016 0x4367
6EIDT 0x4369
XBLOG 0x436c
1FU10 0x4371
6ERRP 0x4377
6ERRO 0x437a
CLUST 0x437c
NSAVA 0x437d
BBASE 0x437e
T1017 0x4383
RRTSA 0x4384
RSSSA 0x4386
R1PHS 0x4388
R1DSA 0x438a
R1PHI 0x438c
R1DME 0x438e
R1DIM 0x4390
R1RME 0x4392
R1RIM 0x4394
R1RSA 0x4396
R1IME 0x4398
R1IIM 0x439a
R1ISA 0x439c
NSTAR 0x439d
R1MME 0x439e
R1MIM 0x43a0
T1020 0x43a2
W1PHS 0x43a8
WRTSA 0x43aa
WSSSA 0x43ac
T1021 0x43ae
