AS5DP 0x600
MIFID 0x618
RDVDF 0x640
MINMT 0x64e
MIDMW 0x654
MINKS 0x658
RX000 0x680
RX001 0x681
RX002 0x682
RX003 0x683
RX004 0x684
RX005 0x685
RX006 0x686
RX007 0x687
RX010 0x688
RX011 0x689
RX012 0x68a
RX013 0x68b
RX014 0x68c
RX015 0x68d
RX016 0x68e
RX017 0x68f
RX020 0x690
RX021 0x691
RX022 0x692
RX023 0x693
RX024 0x694
RX025 0x695
RX026 0x696
RX027 0x697
RX030 0x698
RXMAX 0x699
RDVHI 0x6c0
MIERC 0x6cc
MIERD 0x6dc
MIPRM 0x714
MIEMG 0x748
WDATA 0x757
RDATA 0x75d
CEXIT 0x767
TEXIT 0x768
TEXIA 0x769
FMCOM 0x76a
MIBOP 0x77c
ADTPI 0x780
MIMTS 0x7b0
S04MA 0x7b4
77YEA 0x7c4
S05MA 0x7d2
EMCOM 0x7ea
SPOP 0x7fe
NCLEA 0x7ff
DPSTA 0x800
SERVP 0x802
LOADI 0x803
BACKG 0x804
MTOR 0x806
RTREF 0x807
CURPR 0x808
MQUEU 0x809
BTIMQ 0x80a
BEXQU 0x80b
BSEGL 0x80c
SGMAX 0x80d
USEGM 0x80e
MBIER 0x80f
RTSTA 0x810
CORMS 0x811
CORAD 0x812
DDBLS 0x813
BGFPA 0x823
BGLPA 0x824
RTFPA 0x825
RTLPA 0x826
CCFPA 0x827
CCLPA 0x828
SYSNO 0x829
1HWIN 0x82a
SINVE 0x82d
REVLE 0x82f
GENDA 0x830
STDCN 0x835
IDNTS 0x836
S14MA 0x837
EXTDS 0x83a
TABLE 0x83e
USTAR 0x842
UREST 0x843
DDASA 0x845
UNAFL 0x847
FLPT3 0x848
FIXCL 0x849
CNTXL 0x84a
CAMID 0x84b
9TIM0 0x84c
8CLCN 0x84d
ALTOF 0x84e
9TIM1 0x850
9TIM2 0x852
9TIM3 0x853
9TIM4 0x854
9TIM5 0x855
9TIM6 0x856
9CLO0 0x857
9CLO1 0x858
9CLO2 0x859
9CLO3 0x85a
9CLO4 0x85b
9CLO5 0x85c
9CLO6 0x85d
ATIM1 0x85e
ATIM2 0x85f
MTIME 0x860
MTIM2 0x861
IMASK 0x862
NOPGS 0x863
ENDCO 0x864
USEGA 0x865
ADRMA 0x866
UZERO 0x867
BUFAS 0x868
XALTS 0x869
XSGFN 0x86a
USRTB 0x86b
CACHL 0x86c
ECORM 0x86d
XTMRT 0x86e
ESGTA 0x86f
MRTLA 0x870
XERDE 0x871
ENDPA 0x872
PPRTD 0x873
XMSGU 0x874
USLOG 0x879
FREEC 0x87a
PRINC 0x87c
FORCE 0x87d
LCACH 0x87e
UCACH 0x87f
MBSYM 0x880
