30000B  NXPIT(RTLO-SYMBOLS)
30003B  RTLOA(RTLO-SYMBOLS)
30012B  RRTLO(RTLO-SYMBOLS)
30020B  SPSRS(RTLO-SYMBOLS)
30021B  RRRTL(RTLO-SYMBOLS)
30030B  RRRRT(RTLO-SYMBOLS)
30037B  RRPRD(RTLO-SYMBOLS)
30046B  RRPRL(RTLO-SYMBOLS)
30067B  RSSWA(RTLO-SYMBOLS)
30074B  XSWAP(RTLO-SYMBOLS)
30101B  SWAPO(RTLO-SYMBOLS)
30425B  RTPAC(RTLO-SYMBOLS)
30427B  ACTCH(RTLO-SYMBOLS)
30570B  REORG(RTLO-SYMBOLS)
31245B  7ENTR(RTLO-SYMBOLS)
31275B  7LEAX(RTLO-SYMBOLS)
31276B  7LEAV(RTLO-SYMBOLS)
31334B  7LENT(RTLO-SYMBOLS)
31337B  7LXLE(RTLO-SYMBOLS)
31340B  7LLEA(RTLO-SYMBOLS)
31345B  7RBRF(RTLO-SYMBOLS) / RBRFB(RTLO-SYMBOLS)
31360B  FINBT(RTLO-SYMBOLS)
31405B  IOINI(RTLO-SYMBOLS)
31457B  7READ(RTLO-SYMBOLS)
31470B  7REA1(RTLO-SYMBOLS)
31505B  SYMB(RTLO-SYMBOLS)
31530B  7ADSU(RTLO-SYMBOLS)
31533B  7FSYM(RTLO-SYMBOLS)
31653B  7FSYT(RTLO-SYMBOLS)
31657B  7FNST(RTLO-SYMBOLS)
31664B  7FNSY(RTLO-SYMBOLS)
31672B  TOLTB(RTLO-SYMBOLS)
31724B  7DELT(RTLO-SYMBOLS)
32003B  7ADRE(RTLO-SYMBOLS)
32042B  DAREF(RTLO-SYMBOLS)
32150B  DXREF(RTLO-SYMBOLS)
32266B  DACHR(RTLO-SYMBOLS)
32372B  7BTR(RTLO-SYMBOLS)
32437B  7GETE(RTLO-SYMBOLS)
32505B  ZEROE(RTLO-SYMBOLS)
32534B  7LTBC(RTLO-SYMBOLS)
32552B  7SFRE(RTLO-SYMBOLS)
32567B  GARBT(RTLO-SYMBOLS)
32763B  SUBGA(RTLO-SYMBOLS)
33045B  GETTA(RTLO-SYMBOLS)
33203B  7FRTD(RTLO-SYMBOLS)
33231B  RL1(RTLO-SYMBOLS)
33314B  RTDCH(RTLO-SYMBOLS)
33335B  WTEMP(RTLO-SYMBOLS)
33365B  RTEMP(RTLO-SYMBOLS)
33407B  7SOVE(RTLO-SYMBOLS) / SOVER(RTLO-SYMBOLS)
33612B  7RCB(RTLO-SYMBOLS)
33652B  5RCBE(RTLO-SYMBOLS)
33661B  RTPB(RTLO-SYMBOLS)
33670B  LF(RTLO-SYMBOLS)
33674B  LR(RTLO-SYMBOLS)
33700B  LRP(RTLO-SYMBOLS)
33713B  LRD(RTLO-SYMBOLS)
33726B  LC(RTLO-SYMBOLS)
34000B  NDPIT(RTLO-SYMBOLS)
34022B  AFR(RTLO-SYMBOLS)
34034B  ARR(RTLO-SYMBOLS)
34047B  SFL(RTLO-SYMBOLS)
34106B  AFL(RTLO-SYMBOLS)
34120B  SRL(RTLO-SYMBOLS)
34142B  LNF(RTLO-SYMBOLS)
34157B  5RUT(RTLO-SYMBOLS)
34170B  INHB(RTLO-SYMBOLS)
34173B  LSM(RTLO-SYMBOLS)
34176B  ASF(RTLO-SYMBOLS)
34453B  ADS(RTLO-SYMBOLS)
34550B  LIBR(RTLO-SYMBOLS)
34570B  LIB(RTLO-SYMBOLS)
34612B  MAIN(RTLO-SYMBOLS)
35022B  REF(RTLO-SYMBOLS)
35052B  ENTR(RTLO-SYMBOLS)
35136B  PMO(RTLO-SYMBOLS)
35244B  DMO(RTLO-SYMBOLS)
35253B  DIC(RTLO-SYMBOLS)
35460B  BEG(RTLO-SYMBOLS)
35526B  END(RTLO-SYMBOLS)
35662B  EOF(RTLO-SYMBOLS)
36133B  INC(RTLO-SYMBOLS)
36211B  CXC(RTLO-SYMBOLS)
36231B  INL(RTLO-SYMBOLS)
36267B  CXL(RTLO-SYMBOLS)
36274B  DWL(RTLO-SYMBOLS)
36316B  DWC(RTLO-SYMBOLS)
36356B  DBG(RTLO-SYMBOLS)
36372B  CHBIO(RTLO-SYMBOLS)
36427B  7SCLC(RTLO-SYMBOLS)
36454B  7DGET(RTLO-SYMBOLS)
36523B  FETCB(RTLO-SYMBOLS)
36576B  EMTYB(RTLO-SYMBOLS)
36620B  7DGEY(RTLO-SYMBOLS)
36627B  TDGET(RTLO-SYMBOLS)
36700B  TDGEY(RTLO-SYMBOLS)
36725B  CSRFI(RTLO-SYMBOLS)
36744B  CSWFI(RTLO-SYMBOLS)
36771B  SDLAD(RTLO-SYMBOLS)
36773B  CHCOB(RTLO-SYMBOLS)
37045B  NCOBS(RTLO-SYMBOLS)
37201B  7MESS(RTLO-SYMBOLS) / MESS(RTLO-SYMBOLS)
37222B  ERRME(RTLO-SYMBOLS) / 7ERRM(RTLO-SYMBOLS)
37227B  7CRLF(RTLO-SYMBOLS)
37235B  SYMW(RTLO-SYMBOLS)
37314B  DECOD(RTLO-SYMBOLS)
37317B  SHSYL(RTLO-SYMBOLS)
37341B  THISS(RTLO-SYMBOLS)
37425B  RSAPR(RTLO-SYMBOLS)
37436B  7PWOR(RTLO-SYMBOLS) / PWORD(RTLO-SYMBOLS)
37446B  7PCHA(RTLO-SYMBOLS)
37456B  7PNSP(RTLO-SYMBOLS)
37466B  DOCTU(RTLO-SYMBOLS)
37506B  7OCTU(RTLO-SYMBOLS) / OCTUT(RTLO-SYMBOLS)
37532B  OCT1(RTLO-SYMBOLS)
37553B  7OCTO(RTLO-SYMBOLS) / OCTO(RTLO-SYMBOLS)
37564B  OCTOX(RTLO-SYMBOLS)
37570B  NOCTU(RTLO-SYMBOLS)
37622B  DECUT(RTLO-SYMBOLS) / 7DECU(RTLO-SYMBOLS)
37675B  7LEGS(RTLO-SYMBOLS)
37710B  7SC1(RTLO-SYMBOLS)
37737B  7FFSE(RTLO-SYMBOLS)
37777B  LTK0(RTLO-SYMBOLS)
40000B  NRPIT(RTLO-SYMBOLS) / LV14(RTLO-SYMBOLS)
40014B  IDGBU(RTLO-SYMBOLS)
40042B  PITLI(RTLO-SYMBOLS)
40075B  RESET(RTLO-SYMBOLS)
40413B  BRSET(RTLO-SYMBOLS)
40442B  7RFIL(RTLO-SYMBOLS)
40526B  RSFIL(RTLO-SYMBOLS)
40537B  RBRFI(RTLO-SYMBOLS)
40557B  7SEGT(RTLO-SYMBOLS)
40561B  7SEGF(RTLO-SYMBOLS)
40776B  SSEGM(RTLO-SYMBOLS)
41042B  7RSEG(RTLO-SYMBOLS) / RRSEG(RTLO-SYMBOLS)
41046B  ISMAP(RTLO-SYMBOLS)
41056B  XSSEG(RTLO-SYMBOLS)
41063B  XRSEG(RTLO-SYMBOLS)
41077B  MAPR(RTLO-SYMBOLS)
41210B  7RESP(RTLO-SYMBOLS) / RESPA(RTLO-SYMBOLS)
41314B  RRESP(RTLO-SYMBOLS)
41320B  RERES(RTLO-SYMBOLS)
41332B  PRRES(RTLO-SYMBOLS)
41337B  SSEGT(RTLO-SYMBOLS)
41514B  7RSTA(RTLO-SYMBOLS) / RSEGT(RTLO-SYMBOLS)
41540B  SXSEG(RTLO-SYMBOLS)
41566B  DSTOR(RTLO-SYMBOLS)
41601B  DLOAD(RTLO-SYMBOLS)
41632B  SRTD(RTLO-SYMBOLS)
42071B  RRTD(RTLO-SYMBOLS)
42205B  WIMAG(RTLO-SYMBOLS)
42207B  7RIMA(RTLO-SYMBOLS) / RIMAG(RTLO-SYMBOLS)
42320B  FOPEN(RTLO-SYMBOLS)
42476B  WBCIM(RTLO-SYMBOLS)
42507B  WSEGB(RTLO-SYMBOLS)
42514B  INITR(RTLO-SYMBOLS)
42543B  INRTP(RTLO-SYMBOLS)
42565B  RIRTF(RTLO-SYMBOLS)
42622B  RSRTF(RTLO-SYMBOLS)
42650B  TOLFR(RTLO-SYMBOLS)
42714B  WRTFI(RTLO-SYMBOLS)
43022B  RTL2W(RTLO-SYMBOLS)
43061B  RTLWF(RTLO-SYMBOLS)
43063B  RTLRF(RTLO-SYMBOLS)
43065B  RTLMC(RTLO-SYMBOLS)
43111B  WSRTF(RTLO-SYMBOLS)
43145B  WARTF(RTLO-SYMBOLS)
43162B  DELRT(RTLO-SYMBOLS)
43230B  DSRTF(RTLO-SYMBOLS)
43262B  FSYRT(RTLO-SYMBOLS)
43367B  RRTEL(RTLO-SYMBOLS)
43406B  RTFAC(RTLO-SYMBOLS)
43455B  CLRTF(RTLO-SYMBOLS)
43476B  FLTOR(RTLO-SYMBOLS)
43570B  TORTF(RTLO-SYMBOLS)
43607B  GRTFI(RTLO-SYMBOLS)
43630B  LABLO(RTLO-SYMBOLS)
43717B  ABL1(RTLO-SYMBOLS)
44000B  NSPIT(RTLO-SYMBOLS)
44025B  GCOM(RTLO-SYMBOLS)
44056B  INFO(RTLO-SYMBOLS)
44101B  NOYES(RTLO-SYMBOLS)
44115B  TCI(RTLO-SYMBOLS)
44143B  XTCI(RTLO-SYMBOLS)
44172B  ZEROP(RTLO-SYMBOLS)
44214B  DPUN2(RTLO-SYMBOLS)
44221B  DPUN1(RTLO-SYMBOLS)
44225B  DPUN0(RTLO-SYMBOLS)
44235B  7KGPA(RTLO-SYMBOLS)
44241B  7GPAR(RTLO-SYMBOLS)
44263B  CR(RTLO-SYMBOLS)
44350B  MDIGI(RTLO-SYMBOLS)
44605B  MSGNA(RTLO-SYMBOLS)
45000B  3CREA(RTLO-SYMBOLS)
45005B  3OREA(RTLO-SYMBOLS)
45013B  3CWRI(RTLO-SYMBOLS)
45020B  3OWRI(RTLO-SYMBOLS)
45037B  3BACK(RTLO-SYMBOLS)
45044B  3SCAB(RTLO-SYMBOLS)
45061B  3SRHI(RTLO-SYMBOLS)
45106B  ONESC(RTLO-SYMBOLS)
45116B  OFFES(RTLO-SYMBOLS)
45133B  OPENF(RTLO-SYMBOLS)
45143B  7LOAD(RTLO-SYMBOLS)
45302B  7LMON(RTLO-SYMBOLS)
45405B  7IOER(RTLO-SYMBOLS) / IOERR(RTLO-SYMBOLS)
45411B  7SERR(RTLO-SYMBOLS)
45505B  7FATA(RTLO-SYMBOLS)
45550B  SCRFE(RTLO-SYMBOLS)
45560B  SGF2E(RTLO-SYMBOLS)
45573B  SGFER(RTLO-SYMBOLS)
45611B  7FERR(RTLO-SYMBOLS)
45624B  7SILL(RTLO-SYMBOLS)
45631B  7ILLF(RTLO-SYMBOLS)
45636B  7ILCH(RTLO-SYMBOLS)
45643B  7ILLP(RTLO-SYMBOLS)
45660B  7PARI(RTLO-SYMBOLS) / PARIL(RTLO-SYMBOLS)
45670B  INBDR(RTLO-SYMBOLS)
45763B  STDGB(RTLO-SYMBOLS)
45777B  NBSCO(RTLO-SYMBOLS)
46002B  NSCOM(RTLO-SYMBOLS)
46332B  XLOCO(RTLO-SYMBOLS)
46336B  LOCOM(RTLO-SYMBOLS)
46632B  NRLCO(RTLO-SYMBOLS)
46636B  RELCO(RTLO-SYMBOLS)
46747B  ASCOX(RTLO-SYMBOLS)
47006B  RSCOM(RTLO-SYMBOLS)
47011B  EXCOM(RTLO-SYMBOLS)
47016B  EXRTL(RTLO-SYMBOLS)
47042B  TABLI(RTLO-SYMBOLS)
47045B  WLSEQ(RTLO-SYMBOLS)
47370B  TLOCO(RTLO-SYMBOLS)
47375B  ENCOM(RTLO-SYMBOLS)
50000B  NMPIT(RTLO-SYMBOLS)
50262B  ENDRU(RTLO-SYMBOLS)
50615B  COBER(RTLO-SYMBOLS)
51521B  WSEGN(RTLO-SYMBOLS)
51621B  WPSEG(RTLO-SYMBOLS)
52132B  RELSC(RTLO-SYMBOLS)
52135B  CRSCO(RTLO-SYMBOLS)
52163B  PRKEY(RTLO-SYMBOLS)
52534B  SSCOM(RTLO-SYMBOLS)
52536B  SCCOM(RTLO-SYMBOLS)
52576B  NEWPC(RTLO-SYMBOLS)
52600B  NNEWP(RTLO-SYMBOLS)
52603B  LIRTF(RTLO-SYMBOLS)
53010B  DUBIC(RTLO-SYMBOLS)
53231B  SLADC(RTLO-SYMBOLS)
53474B  CHLOC(RTLO-SYMBOLS)
53701B  RDIGI(RTLO-SYMBOLS)
53776B  HELPC(RTLO-SYMBOLS)
54000B  NX5DP(RTLO-SYMBOLS)
54055B  DNREC(RTLO-SYMBOLS)
54057B  DNREF(RTLO-SYMBOLS)
54125B  WRNRE(RTLO-SYMBOLS)
54137B  DEFSC(RTLO-SYMBOLS)
54343B  DELSC(RTLO-SYMBOLS)
54367B  WSYCO(RTLO-SYMBOLS)
54676B  COLSN(RTLO-SYMBOLS)
54700B  WPRCO(RTLO-SYMBOLS)
54702B  WCLCO(RTLO-SYMBOLS)
54704B  WRSCO(RTLO-SYMBOLS)
54706B  WRSAC(RTLO-SYMBOLS)
54754B  PRADR(RTLO-SYMBOLS)
55057B  DECPR(RTLO-SYMBOLS)
55176B  DELPR(RTLO-SYMBOLS)
55217B  CDRTP(RTLO-SYMBOLS)
55262B  LDELP(RTLO-SYMBOLS)
55305B  WLACO(RTLO-SYMBOLS)
55473B  DELCL(RTLO-SYMBOLS)
55542B  SSFIL(RTLO-SYMBOLS)
55572B  SPTCO(RTLO-SYMBOLS)
55626B  RBINC(RTLO-SYMBOLS)
56502B  RBINX(RTLO-SYMBOLS)
56522B  BINDU(RTLO-SYMBOLS)
57067B  ODUMP(RTLO-SYMBOLS)
57413B  PCTCO(RTLO-SYMBOLS)
57545B  PCRCO(RTLO-SYMBOLS)
60000B  NS5DP(RTLO-SYMBOLS)
60021B  AAREA(RTLO-SYMBOLS)
60316B  CHPRC(RTLO-SYMBOLS)
61265B  LFSEG(RTLO-SYMBOLS)
61313B  DEFPR(RTLO-SYMBOLS)
61560B  REFSY(RTLO-SYMBOLS)
61606B  DELRS(RTLO-SYMBOLS)
61705B  RENAM(RTLO-SYMBOLS)
62020B  IMAGL(RTLO-SYMBOLS)
62030B  COMPC(RTLO-SYMBOLS)
62434B  WHATC(RTLO-SYMBOLS)
62675B  BACKU(RTLO-SYMBOLS)
62702B  SC5CO(RTLO-SYMBOLS)
62705B  RC5CO(RTLO-SYMBOLS)
62707B  LBACO(RTLO-SYMBOLS)
62714B  LIALP(RTLO-SYMBOLS)
62722B  PRSCO(RTLO-SYMBOLS)
63011B  FIXCO(RTLO-SYMBOLS)
63042B  UNFIX(RTLO-SYMBOLS)
63121B  DUMPR(RTLO-SYMBOLS)
63225B  RDUMP(RTLO-SYMBOLS)
63301B  TABDC(RTLO-SYMBOLS)
63456B  SPELE(RTLO-SYMBOLS)
63522B  PELEM(RTLO-SYMBOLS)
63556B  TGPEL(RTLO-SYMBOLS)
63564B  LFRTD(RTLO-SYMBOLS)
63615B  SFRSY(RTLO-SYMBOLS)
63655B  SFRS1(RTLO-SYMBOLS)
63715B  CDALO(RTLO-SYMBOLS)
63740B  CDASE(RTLO-SYMBOLS)
63765B  IGMCO(RTLO-SYMBOLS)
64000B  NIPIT(RTLO-SYMBOLS)
64014B  CLRSE(RTLO-SYMBOLS)
64116B  CHBSE(RTLO-SYMBOLS)
64256B  SNOIO(RTLO-SYMBOLS)
64274B  SPROF(RTLO-SYMBOLS)
64310B  RPROF(RTLO-SYMBOLS)
64352B  CODSN(RTLO-SYMBOLS)
64354B  CODLS(RTLO-SYMBOLS)
64515B  COSED(RTLO-SYMBOLS)
64525B  CODCB(RTLO-SYMBOLS)
64676B  PRLOA(RTLO-SYMBOLS) / PRDUM(RTLO-SYMBOLS)
65232B  RPRCO(RTLO-SYMBOLS)
65626B  RPRFI(RTLO-SYMBOLS)
65643B  WTSGF(RTLO-SYMBOLS)
65674B  RPRAR(RTLO-SYMBOLS)
66037B  SFORT(RTLO-SYMBOLS)
66042B  RFORT(RTLO-SYMBOLS)
66045B  DEFSY(RTLO-SYMBOLS)
66300B  LLRTL(RTLO-SYMBOLS)
74000B  NDTPI(RTLO-SYMBOLS)
74177B  ACLEA(RTLO-SYMBOLS)
76037B  MASKE(RTLO-SYMBOLS)
77770B  RNGCL(RTLO-SYMBOLS)
77777B  PCRMA(RTLO-SYMBOLS)
106103B  UKPAR(RTLO-SYMBOLS)
106104B  UDDEV(RTLO-SYMBOLS)
106105B  USUNI(RTLO-SYMBOLS)
106120B  EWLIM(RTLO-SYMBOLS)
106121B  EDIER(RTLO-SYMBOLS)
106140B  CLTHI(RTLO-SYMBOLS)
106154B  DFCEN(RTLO-SYMBOLS)
106160B  UKFNC(RTLO-SYMBOLS)
106161B  UKTAG(RTLO-SYMBOLS)
106162B  NWTAG(RTLO-SYMBOLS)
106163B  NAUT(RTLO-SYMBOLS)
106164B  CLCNG(RTLO-SYMBOLS)
106170B  DTRER(RTLO-SYMBOLS)
106171B  NOVAL(RTLO-SYMBOLS)
106172B  MBDCN(RTLO-SYMBOLS)
106173B  ILADR(RTLO-SYMBOLS)
106174B  ILDWD(RTLO-SYMBOLS)
106176B  NOMIR(RTLO-SYMBOLS)
121314B  PIKEY(RTLO-SYMBOLS)
