26000B  FCSTA(FILSYS-SYMBOLS)
26003B  INIQ(FILSYS-SYMBOLS)
26044B  RELQ(FILSYS-SYMBOLS)
26106B  WLOCQ(FILSYS-SYMBOLS)
26116B  LOCQ(FILSYS-SYMBOLS)
26125B  REAQ(FILSYS-SYMBOLS)
26130B  WRIQ(FILSYS-SYMBOLS)
26134B  APPQ(FILSYS-SYMBOLS)
26136B  XTAKQ(FILSYS-SYMBOLS)
26146B  TAKQ(FILSYS-SYMBOLS)
26277B  UNLQ(FILSYS-SYMBOLS)
26302B  XUNLQ(FILSYS-SYMBOLS)
26331B  AMOFI(FILSYS-SYMBOLS)
26334B  BMOFF(FILSYS-SYMBOLS)
26351B  500MT(FILSYS-SYMBOLS)
26354B  MAGTP(FILSYS-SYMBOLS)
26375B  500RF(FILSYS-SYMBOLS)
26401B  500WF(FILSYS-SYMBOLS)
26405B  XRFIL(FILSYS-SYMBOLS)
26407B  XWFIL(FILSYS-SYMBOLS)
26446B  XMRW(FILSYS-SYMBOLS)
26572B  XRPAG(FILSYS-SYMBOLS)
26574B  XWPAG(FILSYS-SYMBOLS)
26576B  YFGET(FILSYS-SYMBOLS)
26600B  YFPUT(FILSYS-SYMBOLS)
27056B  COMEN(FILSYS-SYMBOLS)
27221B  SRRT1(FILSYS-SYMBOLS)
27224B  SRRT2(FILSYS-SYMBOLS)
27235B  SRRT4(FILSYS-SYMBOLS)
27237B  COMMO(FILSYS-SYMBOLS)
27530B  SLRMO(FILSYS-SYMBOLS)
27542B  RSCAL(FILSYS-SYMBOLS)
27576B  SVCAL(FILSYS-SYMBOLS)
27622B  GPHPA(FILSYS-SYMBOLS)
27652B  INITF(FILSYS-SYMBOLS)
30000B  NXPIT(FILSYS-SYMBOLS)
30020B  SPSRS(FILSYS-SYMBOLS)
30062B  GETCH(FILSYS-SYMBOLS)
30070B  GTTCH(FILSYS-SYMBOLS)
30100B  PUTCH(FILSYS-SYMBOLS)
30104B  COPYS(FILSYS-SYMBOLS)
30150B  ACOPY(FILSYS-SYMBOLS)
30164B  SETBL(FILSYS-SYMBOLS)
30205B  CPTYP(FILSYS-SYMBOLS)
30225B  GDIRA(FILSYS-SYMBOLS)
