110360B  FCPUL(SYMBOL-1-LIST)
110431B  CPULG(SYMBOL-1-LIST)
110511B  FLOGD(SYMBOL-1-LIST)
110542B  FFLOG(SYMBOL-1-LIST)
111020B  RTRAN(SYMBOL-1-LIST)
111044B  WTRAN(SYMBOL-1-LIST)
111072B  WXTRA(SYMBOL-1-LIST)
111216B  UPDSI(SYMBOL-1-LIST)
111255B  INBRP(SYMBOL-1-LIST)
111374B  CMCHT(SYMBOL-1-LIST)
111430B  CDVCO(SYMBOL-1-LIST)
111476B  COPCO(SYMBOL-1-LIST)
112134B  LOOKA(SYMBOL-1-LIST)
113046B  MBTER(SYMBOL-1-LIST)
113157B  BAUTI(SYMBOL-1-LIST)
113634B  LISTR(SYMBOL-1-LIST)
114472B  SSCLD(SYMBOL-1-LIST)
114551B  RSCLD(SYMBOL-1-LIST)
114611B  ISYSE(SYMBOL-1-LIST)
114704B  TERMS(SYMBOL-1-LIST)
115047B  SMEND(SYMBOL-1-LIST)
115307B  CCTCO(SYMBOL-1-LIST)
115537B  UELGN(SYMBOL-1-LIST)
115727B  STABA(SYMBOL-1-LIST)
115731B  STOBA(SYMBOL-1-LIST)
115733B  XBADM(SYMBOL-1-LIST)
115776B  SRMMO(SYMBOL-1-LIST)
116000B  SLCMO(SYMBOL-1-LIST)
116042B  G5ERM(SYMBOL-1-LIST)
116073B  DFUNC(SYMBOL-1-LIST)
117430B  TAPEF(SYMBOL-1-LIST)
120275B  ACHSU(SYMBOL-1-LIST)
120302B  STWOR(SYMBOL-1-LIST)
120311B  CCCIN(SYMBOL-1-LIST)
120320B  CINBT(SYMBOL-1-LIST)
120447B  RCALA(SYMBOL-1-LIST)
120573B  LDVFC(SYMBOL-1-LIST)
120703B  TIMUS(SYMBOL-1-LIST)
120710B  CTIMU(SYMBOL-1-LIST)
120723B  TMTIM(SYMBOL-1-LIST)
121024B  IO2RE(SYMBOL-1-LIST)
121032B  IO2WR(SYMBOL-1-LIST)
121041B  AC1RE(SYMBOL-1-LIST)
121047B  AC1WR(SYMBOL-1-LIST)
121056B  AC2RE(SYMBOL-1-LIST)
121064B  AC2WR(SYMBOL-1-LIST)
121073B  AC3RE(SYMBOL-1-LIST)
121106B  AC3WR(SYMBOL-1-LIST)
121124B  ACER(SYMBOL-1-LIST)
121147B  ACCOU(SYMBOL-1-LIST)
121314B  PIKEY(SYMBOL-1-LIST)
121423B  INITA(SYMBOL-1-LIST)
121526B  CACCO(SYMBOL-1-LIST)
121530B  SACCO(SYMBOL-1-LIST)
122027B  OPCHE(SYMBOL-1-LIST)
122135B  NIMPL(SYMBOL-1-LIST)
122146B  RSTAC(SYMBOL-1-LIST)
122150B  RSTOC(SYMBOL-1-LIST)
122403B  LIRTL(SYMBOL-1-LIST)
122606B  TRTER(SYMBOL-1-LIST)
123252B  OPEND(SYMBOL-1-LIST)
