26000B  PITST(SYMBOL-1-LIST)
26056B  MONED(SYMBOL-1-LIST)
26060B  EDIT(SYMBOL-1-LIST)
26655B  VDUTT(SYMBOL-1-LIST)
26667B  VDUBS(SYMBOL-1-LIST)
26677B  GETOL(SYMBOL-1-LIST)
26711B  SRCHO(SYMBOL-1-LIST)
26736B  TABSP(SYMBOL-1-LIST)
26750B  CRLF(SYMBOL-1-LIST)
26757B  PMCRL(SYMBOL-1-LIST)
26766B  TCO2(SYMBOL-1-LIST)
26777B  TCO(SYMBOL-1-LIST)
27015B  PMTCO(SYMBOL-1-LIST)
27032B  TCI(SYMBOL-1-LIST)
27063B  WINB(SYMBOL-1-LIST)
27127B  ETCI(SYMBOL-1-LIST)
27222B  CREAD(SYMBOL-1-LIST)
27227B  OREAD(SYMBOL-1-LIST)
27235B  O1REA(SYMBOL-1-LIST)
27245B  CWRIT(SYMBOL-1-LIST)
27252B  OWRIT(SYMBOL-1-LIST)
27314B  BACK(SYMBOL-1-LIST)
27321B  SCAB(SYMBOL-1-LIST)
27346B  3ENTE(SYMBOL-1-LIST)
27371B  L3EAV(SYMBOL-1-LIST)
27404B  LEAVX(SYMBOL-1-LIST)
27417B  LEAV2(SYMBOL-1-LIST)
27430B  3LEAV(SYMBOL-1-LIST)
27466B  EEDIT(SYMBOL-1-LIST)
