120000B  5XPOF(XMSG-SYMBOL-LIST)
120200B  XXBAS(XMSG-SYMBOL-LIST)
120377B  XQTBS(XMSG-SYMBOL-LIST) / XQSTO(XMSG-SYMBOL-LIST)
120402B  XQKER(XMSG-SYMBOL-LIST)
120405B  XQKIC(XMSG-SYMBOL-LIST)
120410B  XQBUF(XMSG-SYMBOL-LIST)
120413B  XQNTT(XMSG-SYMBOL-LIST)
120416B  XQNTR(XMSG-SYMBOL-LIST)
120421B  XQNRR(XMSG-SYMBOL-LIST)
120424B  XQIOR(XMSG-SYMBOL-LIST)
120427B  XQLNK(XMSG-SYMBOL-LIST)
120432B  XQTI0(XMSG-SYMBOL-LIST) / XQTIM(XMSG-SYMBOL-LIST)
120433B  XQTI1(XMSG-SYMBOL-LIST)
120434B  XQTI2(XMSG-SYMBOL-LIST)
120435B  XQWQH(XMSG-SYMBOL-LIST)
120440B  XQTBE(XMSG-SYMBOL-LIST) / XXADD(XMSG-SYMBOL-LIST)
120442B  XPPAT(XMSG-SYMBOL-LIST)
120443B  XPATC(XMSG-SYMBOL-LIST)
120444B  XPTLV(XMSG-SYMBOL-LIST)
120445B  XTRFL(XMSG-SYMBOL-LIST)
120446B  XDTMX(XMSG-SYMBOL-LIST)
120447B  XDMUS(XMSG-SYMBOL-LIST)
120450B  XUPRG(XMSG-SYMBOL-LIST)
120451B  XUXRG(XMSG-SYMBOL-LIST)
120452B  XUTRG(XMSG-SYMBOL-LIST)
120453B  XUARG(XMSG-SYMBOL-LIST)
120454B  XUDRG(XMSG-SYMBOL-LIST)
120455B  XULRG(XMSG-SYMBOL-LIST)
120456B  XUSRG(XMSG-SYMBOL-LIST)
120457B  XUBRG(XMSG-SYMBOL-LIST)
120460B  CRPRG(XMSG-SYMBOL-LIST)
120461B  CRXRG(XMSG-SYMBOL-LIST)
120462B  CRTRG(XMSG-SYMBOL-LIST)
120463B  CRARG(XMSG-SYMBOL-LIST)
120464B  CRDRG(XMSG-SYMBOL-LIST)
120465B  CRLRG(XMSG-SYMBOL-LIST)
120466B  CRSRG(XMSG-SYMBOL-LIST)
120467B  CRBRG(XMSG-SYMBOL-LIST)
120470B  XQSCR(XMSG-SYMBOL-LIST)
120471B  MCBLN(XMSG-SYMBOL-LIST)
120472B  X4FSZ(XMSG-SYMBOL-LIST)
120473B  X5ROU(XMSG-SYMBOL-LIST)
120474B  X5NLB(XMSG-SYMBOL-LIST)
120475B  X5COM(XMSG-SYMBOL-LIST)
120476B  X5FRM(XMSG-SYMBOL-LIST)
120477B  X5FSZ(XMSG-SYMBOL-LIST)
120500B  X5FSO(XMSG-SYMBOL-LIST)
120501B  X5ACK(XMSG-SYMBOL-LIST)
120502B  X5BPG(XMSG-SYMBOL-LIST)
120503B  X5IRM(XMSG-SYMBOL-LIST)
120504B  X5LTO(XMSG-SYMBOL-LIST)
120505B  X5NGT(XMSG-SYMBOL-LIST)
120506B  X5MCB(XMSG-SYMBOL-LIST)
120507B  X5MES(XMSG-SYMBOL-LIST)
120510B  X5MXH(XMSG-SYMBOL-LIST)
120511B  X5NAM(XMSG-SYMBOL-LIST)
120512B  X5NBF(XMSG-SYMBOL-LIST)
120513B  X5TMS(XMSG-SYMBOL-LIST)
120514B  X5NLW(XMSG-SYMBOL-LIST)
120515B  X5RPM(XMSG-SYMBOL-LIST)
120516B  X5SIR(XMSG-SYMBOL-LIST)
120517B  X5TSK(XMSG-SYMBOL-LIST)
120520B  X5MMX(XMSG-SYMBOL-LIST)
120521B  X5TRA(XMSG-SYMBOL-LIST)
120522B  XSHTB(XMSG-SYMBOL-LIST)
120542B  XIODS(XMSG-SYMBOL-LIST)
120543B  XIOIX(XMSG-SYMBOL-LIST)
120544B  XIOTB(XMSG-SYMBOL-LIST)
120604B  IOMSG(XMSG-SYMBOL-LIST)
120605B  CFMSK(XMSG-SYMBOL-LIST)
120617B  XHS3I(XMSG-SYMBOL-LIST)
120627B  XTIM3(XMSG-SYMBOL-LIST)
120653B  XHPFA(XMSG-SYMBOL-LIST)
120707B  XHMFA(XMSG-SYMBOL-LIST)
120711B  XHTIM(XMSG-SYMBOL-LIST)
120731B  XHSTO(XMSG-SYMBOL-LIST)
120752B  ZCWQH(XMSG-SYMBOL-LIST)
121013B  XLEVH(XMSG-SYMBOL-LIST)
121322B  YTCHK(XMSG-SYMBOL-LIST)
121410B  YESCH(XMSG-SYMBOL-LIST)
121500B  YRDEF(XMSG-SYMBOL-LIST)
121527B  ZXINI(XMSG-SYMBOL-LIST)
121550B  RINER(XMSG-SYMBOL-LIST)
121602B  ZTRA3(XMSG-SYMBOL-LIST)
121613B  ZTRA2(XMSG-SYMBOL-LIST)
121655B  ZEXIT(XMSG-SYMBOL-LIST)
121722B  ZTALL(XMSG-SYMBOL-LIST)
122066B  ZTCOP(XMSG-SYMBOL-LIST)
122110B  XLEV5(XMSG-SYMBOL-LIST)
122135B  XDEAD(XMSG-SYMBOL-LIST)
122152B  ZQDC1(XMSG-SYMBOL-LIST)
122153B  ZQDCH(XMSG-SYMBOL-LIST)
122166B  ZQCHN(XMSG-SYMBOL-LIST)
122201B  ZQFCH(XMSG-SYMBOL-LIST)
122207B  ZDCHN(XMSG-SYMBOL-LIST)
122220B  XKNEX(XMSG-SYMBOL-LIST)
122277B  XHKER(XMSG-SYMBOL-LIST)
122423B  X1ION(XMSG-SYMBOL-LIST)
